Longitude,Lattitude,Location
7.253285,47.138823,Jura 2
7.2528673,47.1375847,Salome 3
7.2527599,47.1372726,Salome 4
7.2526185,47.1366192,"Alleestrasse 4
7.2612098,47.1431642,Energie 1
7.2681299,47.1531883,"Boujean 1
7.2682551,47.15319,"Boujean 2
7.2673794,47.1463868,"Bluets 2
7.2611462,47.1430704,Energie 3
7.2682057,47.1531298,"Boujean 3
7.2526728,47.1362876,"Alleestrasse 3
7.2528087,47.1359089,"Alleestrasse 2
7.2530019,47.1357529,Alleestrasse 1
7.2683842,47.152524,schlosslistrasse
7.2688798,47.152291,Sonnenfeld 1
7.2709304,47.1494524,college
7.2527411,47.1374715,Salome 5
7.2671142,47.146202,"Bluets 3
7.2706731,47.1480083,Football 1
7.2706462,47.1482473,Football 3
7.2703754,47.147826,Football 2
7.2701219,47.1476089,Football 4
7.2698644,47.1474192,Football 5
7.27102,47.1499112,"schlosslifeld 2
7.2707122,47.1507024,schlosslifeld 3
7.2701838,47.1512108,schlosslifeld 1
7.2693382,47.1520017,Sonnenfeld 2
7.2530582,47.1373357,"Cygnes Lot 1
7.2494055,47.1714432,Frinvilier Fabrique 2
7.2483728,47.1725664,frinvillier fabrique 1
7.2511516,47.1706992,Frinvilier Fabrique 3
7.2529555,47.1376092,"Cygnes Lot 2
7.2500947,47.1710352,Frinvillier Fabrique 4
7.2528837,47.137233,"Cygnes Lot 3
7.2531333,47.1372557,"Cygnes Lot 4
7.2657598,47.1450855,"schussinsel 1
7.2654978,47.1450386,"schussinsel 2
7.2535349,47.1374541,"Cygnes Lot 5
7.2532093,47.1378958,"Cygnes
7.2709493,47.1488774,Lezard 1
7.2556811,47.1401486,"CFF Lot 1
7.2550212,47.1399406,"CFF Lot 2
7.4515666,46.9899499,Reichenbach
7.2524152,47.1711075,"Transjurane tunnel
7.2460144,47.1786226,"Rondchatel
7.2499843,47.189005,Pery taubenlochweg
7.2335613,47.162853,Orvin Petit Moulin
6.7778653,46.8155944,"Cheyres Path
6.7748434,46.813844,"Cheyres Reserve
7.7960748,46.6859873,"Sundgraben Gorge
7.79571,46.6855513,"Sundgraben Forest Left
7.7960258,46.6853628,Sundgraben Forest Right
7.2534584,47.1391097,"CFF Path 1
7.268194,47.1464138,"Schussinsel 3
7.253165,47.1374553,"Cygnes Lot 6
7.1606471,47.0476154,Lucherz Seestrasse
7.1591319,47.0483913,Lucherz Bureli
7.1358756,47.0839758,Ligerz favorite
7.2529641,47.1374131,"Cygnes Lot 7
7.2528769,47.1373283,"Cygnes Lot 8
7.1538498,47.0918184,"Twann Estuary
7.2526701,47.1372591,Salome 1
7.2531604,47.1389134,Jura 1
7.2558843,47.1400744,"CFF Path 2
7.2564803,47.140319,"CFF Path 3
7.2564955,47.1408617,"Sureaux
7.7955097,46.6852369,"Sundlaunen Bridge Left
7.2684779,47.1530273,"Buren 1
7.2690419,47.15238,"Buren 2
7.269573,47.1520298,"Buren 3
7.263241,47.144304,"Chapelle
7.2640847,47.1442033,"Schussinsel 4
7.2636529,47.1441632,"Schussinsel 5
7.2632749,47.1440544,Schussinsel 6
7.2614014,47.1435146,Hayek 1
7.2628874,47.1439798,Swatch 2
7.2618735,47.1437883,Swatch 1
7.8205588,46.6749826,Weissenau
7.265898,47.1446034,"Chemin de la Course
7.2669049,47.1462854,"Bluets 1
7.269151,47.1467829,Truite 1
7.2693113,47.1469019,Truite 2
7.2689995,47.1464539,Truite 3
7.2687513,47.1463134,Truite 4
7.2679392,47.1459995,Truite 5
7.2598628,47.1423965,Rue de l'eau 1
7.2594809,47.1423661,Rue de l'eau 2
7.2592207,47.1423807,Rue de l'eau 3
7.2587996,47.1423551,Rue de l'eau 4
7.2579843,47.1422329,Rue de l'eau 5
7.2571581,47.1419557,Strom
7.2612686,47.1433156,Energie 2
7.2566761,47.141661,Dam
7.2528159,47.1374589,Salome 2
7.2526403,47.1343872,"Chemin des Voies
7.2531788,47.1692824,Frinvillier Ramp
7.3127097,47.1665372,"Pieterlen Stockweg
7.2497754,47.1316237,"Rue Alfred-Aebi
7.2504835,47.1327915,"Rue Centrale
7.161443,47.3661637,"Saint Ursanne Falls
7.7949346,46.6841916,"Sundgraben Beach
7.2631529,47.1437468,"Gottstatt 2
7.2625608,47.1437076,"Gottstatt 1
7.264103,47.1439119,"Gottstatt 3
7.2697672,47.1473527,"Football 6
7.2684424,47.1530541,"Buren 2
7.2709796,47.148783,"Lezard 2
7.254484,47.1418701,"Parc Muni
7.2647758,47.155455,"Taubenloch 1
7.2648431,47.1573191,"Taubenloch 2
